
Humidity: 15 %;Light: 0;Pression: 499 hPasc;Temperature: 29 C
Humidity: 33 %;Light: 1;Pression: 616 hPasc;Temperature: 28 C
Humidity: 39 %;Light: 1;Pression: 612 hPasc;Temperature: 28 C
Humidity: 58 %;Light: 0;Pression: 608 hPasc;Temperature: 27 C
Humidity: 53 %;Light: 1;Pression: 608 hPasc;Temperature: 27 C
Humidity: 49 %;Light: 0;Pression: 638 hPasc;Temperature: 27 C
Humidity: 45 %;Light: 0;Pression: 607 hPasc;Temperature: 27 C
Humidity: 55 %;Light: 0;Pression: 566 hPasc;Temperature: 25 C
Humidity: 52 %;Light: 1;Pression: 585 hPasc;Temperature: 25 C
Humidity: 57 %;Light: 1;Pression: 651 hPasc;Temperature: 22 C
