Temperature (°C);26;Humidity (%);95;Light (lx);7517;Pression (hPa);707
Temperature (°C);21;Humidity (%);10;Light (lx);10609;Pression (hPa);708
Temperature (°C);22;Humidity (%);32;Light (lx);10588;Pression (hPa);756
Temperature (°C);35;Humidity (%);67;Light (lx);4414;Pression (hPa);721
Temperature (°C);42;Humidity (%);79;Light (lx);1813;Pression (hPa);770
Temperature (°C);41;Humidity (%);97;Light (lx);9306;Pression (hPa);793
Temperature (°C);35;Humidity (%);37;Light (lx);3115;Pression (hPa);783
Temperature (°C);18;Humidity (%);66;Light (lx);1955;Pression (hPa);701
Temperature (°C);23;Humidity (%);14;Light (lx);3178;Pression (hPa);778
Temperature (°C);34;Humidity (%);27;Light (lx);1153;Pression (hPa);728
Temperature (°C);43;Humidity (%);47;Light (lx);1329;Pression (hPa);706
Temperature (°C);41;Humidity (%);93;Light (lx);7643;Pression (hPa);775
Temperature (°C);40;Humidity (%);32;Light (lx);2279;Pression (hPa);752
Temperature (°C);18;Humidity (%);59;Light (lx);8680;Pression (hPa);773
Temperature (°C);41;Humidity (%);37;Light (lx);4963;Pression (hPa);769
Temperature (°C);44;Humidity (%);62;Light (lx);2084;Pression (hPa);729
Temperature (°C);18;Humidity (%);99;Light (lx);10937;Pression (hPa);782
Temperature (°C);20;Humidity (%);29;Light (lx);3367;Pression (hPa);715
Temperature (°C);44;Humidity (%);35;Light (lx);5477;Pression (hPa);757
Temperature (°C);28;Humidity (%);18;Light (lx);7767;Pression (hPa);779
Temperature (°C);15;Humidity (%);93;Light (lx);9810;Pression (hPa);704
Temperature (°C);42;Humidity (%);67;Light (lx);3889;Pression (hPa);753
Temperature (°C);33;Humidity (%);85;Light (lx);488;Pression (hPa);739
Temperature (°C);39;Humidity (%);72;Light (lx);5396;Pression (hPa);787
Temperature (°C);23;Humidity (%);58;Light (lx);8035;Pression (hPa);713
Temperature (°C);41;Humidity (%);69;Light (lx);6968;Pression (hPa);756
Temperature (°C);22;Humidity (%);62;Light (lx);4630;Pression (hPa);761
Temperature (°C);24;Humidity (%);57;Light (lx);5752;Pression (hPa);781
Temperature (°C);41;Humidity (%);41;Light (lx);3191;Pression (hPa);775
Temperature (°C);30;Humidity (%);31;Light (lx);5243;Pression (hPa);794
Temperature (°C);34;Humidity (%);62;Light (lx);4434;Pression (hPa);783
Temperature (°C);43;Humidity (%);66;Light (lx);3297;Pression (hPa);736
Temperature (°C);38;Humidity (%);11;Light (lx);5006;Pression (hPa);739
Temperature (°C);18;Humidity (%);12;Light (lx);6966;Pression (hPa);702
Temperature (°C);35;Humidity (%);34;Light (lx);8801;Pression (hPa);748
Temperature (°C);19;Humidity (%);64;Light (lx);10217;Pression (hPa);745
Temperature (°C);18;Humidity (%);77;Light (lx);5254;Pression (hPa);734
Temperature (°C);37;Humidity (%);15;Light (lx);9569;Pression (hPa);727
Temperature (°C);33;Humidity (%);27;Light (lx);9096;Pression (hPa);719
Temperature (°C);24;Humidity (%);62;Light (lx);7526;Pression (hPa);709
Temperature (°C);25;Humidity (%);41;Light (lx);3636;Pression (hPa);731
Temperature (°C);23;Humidity (%);99;Light (lx);888;Pression (hPa);764
