Pression (bar);139;
Pression (bar);86;
Pression (bar);89;
Pression (bar);95;
Pression (bar);101;
Pression (bar);146;
Pression (bar);95;
Pression (bar);98;
Pression (bar);91;
Pression (bar);148;
Pression (bar);141;
Pression (bar);155;
Pression (bar);96;
Pression (bar);142;
Pression (bar);95;
Pression (bar);122;
Pression (bar);145;
Pression (bar);94;
Pression (bar);133;
Pression (bar);130;
Pression (bar);146;
Pression (bar);102;
Pression (bar);75;
Pression (bar);147;
Pression (bar);114;
Pression (bar);108;
Pression (bar);154;
Pression (bar);144;
Pression (bar);134;
Pression (bar);115;
Pression (bar);132;
Pression (bar);154;
Pression (bar);121;
Pression (bar);139;
Pression (bar);151;
Pression (bar);113;
Pression (bar);110;
Pression (bar);75;
Pression (bar);147;
Pression (bar);154;
Pression (bar);135;
Pression (bar);111;
Pression (bar);75;
Pression (bar);120;
Pression (bar);140;
Pression (bar);100;
Pression (bar);113;
Pression (bar);101;
Pression (bar);109;
Pression (bar);101;
Pression (bar);95;
Pression (bar);80;
Pression (bar);91;
Pression (bar);148;
Pression (bar);135;
Pression (bar);141;
Pression (bar);92;
Pression (bar);106;
Pression (bar);152;
Pression (bar);102;
Pression (bar);109;
Pression (bar);138;
Pression (bar);152;
Pression (bar);110;
Pression (bar);132;
Pression (bar);102;
Pression (bar);80;
Pression (bar);146;
Pression (bar);105;
Pression (bar);141;
Pression (bar);122;
Pression (bar);120;
Pression (bar);131;
Pression (bar);131;
Pression (bar);139;
Pression (bar);135;
Pression (bar);112;
Pression (bar);129;
Pression (bar);118;
Pression (bar);78;
Pression (bar);124;
Pression (bar);78;
Pression (bar);78;
Pression (bar);133;
Pression (bar);123;
Pression (bar);87;
Pression (bar);110;
Pression (bar);124;
Pression (bar);95;
Pression (bar);76;
Pression (bar);88;
Pression (bar);80;
Pression (bar);108;
Pression (bar);129;
Pression (bar);147;
Pression (bar);113;
Pression (bar);142;
Pression (bar);108;
Pression (bar);96;
Pression (bar);152;
Pression (bar);124;
Pression (bar);139;
Pression (bar);87;
Pression (bar);136;
Pression (bar);93;
Pression (bar);90;
Pression (bar);130;
Pression (bar);128;
Pression (bar);96;
Pression (bar);145;
Pression (bar);117;
Pression (bar);153;
Pression (bar);144;
Pression (bar);130;
Pression (bar);109;
Pression (bar);144;
Pression (bar);152;
Pression (bar);81;
Pression (bar);104;
Pression (bar);76;
