-T;21;H;36;P;106;L;0
-T;15;H;20;P;90;L;0
-T;18;H;23;P;93;L;1
-T;21;H;26;P;96;L;0
-T;15;H;30;P;100;L;0
-T;18;H;33;P;103;L;1
-T;21;H;36;P;106;L;0
-T;18;H;23;P;93;L;1
-T;21;H;26;P;96;L;0
-T;24;H;29;P;99;L;1
-T;17;H;32;P;102;L;0
-T;21;H;36;P;106;L;0
-T;24;H;39;P;109;L;1
-T;17;H;22;P;92;L;0
-T;20;H;25;P;95;L;1
-T;24;H;29;P;99;L;1
-T;17;H;32;P;102;L;0
-T;20;H;35;P;105;L;1
-T;24;H;39;P;109;L;1
-T;17;H;22;P;92;L;0
-T;20;H;25;P;95;L;1
-T;23;H;28;P;98;L;0
-T;17;H;32;P;102;L;0
-T;20;H;35;P;105;L;1
-T;23;H;38;P;108;L;0
-T;16;H;21;P;91;L;1
-T;20;H;25;P;95;L;1
-T;23;H;28;P;98;L;0
-T;16;H;31;P;101;L;1
-T;19;H;34;P;104;L;0
-T;23;H;38;P;108;L;0
-T;16;H;21;P;91;L;1
-T;19;H;24;P;94;L;0
-T;22;H;27;P;97;L;1
-T;16;H;31;P;101;L;1
-T;19;H;34;P;104;L;0
-T;22;H;37;P;107;L;1
