
Humidity: 2.35534 %;Light: 0;Pression: 826 hPasc;Temperature: 15.5758 C
Humidity: 2.35534 %;Light: 0;Pression: 826 hPasc;Temperature: 15.8042 C
Humidity: 2.35534 %;Light: 0;Pression: 826 hPasc;Temperature: 17.4598 C
Humidity: 2.35534 %;Light: 1;Pression: 826 hPasc;Temperature: 16.7507 C
Humidity: 5.95185 %;Light: 1;Pression: 823 hPasc;Temperature: 18.5236 C
Humidity: 5.95185 %;Light: 1;Pression: 823 hPasc;Temperature: 18.0725 C
Humidity: 31.4951 %;Light: 1;Pression: 823 hPasc;Temperature: 17.8049 C
Humidity: 31.4951 %;Light: 1;Pression: 823 hPasc;Temperature: 18.0271 C
Humidity: 52.5823 %;Light: 1;Pression: 830 hPasc;Temperature: 16.1475 C
Humidity: 52.5823 %;Light: 0;Pression: 830 hPasc;Temperature: 15.697 C
Humidity: 59.6472 %;Light: 0;Pression: 830 hPasc;Temperature: 15.3204 C
Humidity: 59.6472 %;Light: 0;Pression: 830 hPasc;Temperature: 16.7752 C
Humidity: 39.4469 %;Light: 1;Pression: 813 hPasc;Temperature: 18.503 C
Humidity: 39.4469 %;Light: 1;Pression: 813 hPasc;Temperature: 16.7333 C
Humidity: 27.7998 %;Light: 1;Pression: 813 hPasc;Temperature: 16.0591 C
Humidity: 27.7998 %;Light: 1;Pression: 813 hPasc;Temperature: 17.3386 C
Humidity: 13.4465 %;Light: 1;Pression: 811 hPasc;Temperature: 15.1589 C
Humidity: 13.4465 %;Light: 1;Pression: 811 hPasc;Temperature: 16.7351 C
Humidity: 16.3107 %;Light: 0;Pression: 811 hPasc;Temperature: 17.3937 C
Humidity: 16.3107 %;Light: 0;Pression: 811 hPasc;Temperature: 15.4954 C
Humidity: 6.77481 %;Light: 0;Pression: 841 hPasc;Temperature: 17.4151 C
Humidity: 6.77481 %;Light: 0;Pression: 841 hPasc;Temperature: 17.2588 C
Humidity: 34.6244 %;Light: 0;Pression: 841 hPasc;Temperature: 18.0543 C
